15	10	E	-6210697.7521561915	200
emissionprobs	10	2	H3k27me3	0	0.9965006198602315
emissionprobs	10	2	H3k27me3	1	0.003499380139768515
emissionprobs	10	3	H3k36me3	0	0.9893578773114798
emissionprobs	10	3	H3k36me3	1	0.010642122688520158
emissionprobs	10	4	H3k4me1	0	0.9942160864050628
emissionprobs	10	4	H3k4me1	1	0.0057839135949373476
emissionprobs	10	5	H3k4me2	0	0.999659326973938
emissionprobs	10	5	H3k4me2	1	3.406730260620546E-4
emissionprobs	10	6	H3k4me3	0	0.9997363142681853
emissionprobs	10	6	H3k4me3	1	2.636857318148124E-4
emissionprobs	10	7	H3k79me2	0	0.9949001403141539
emissionprobs	10	7	H3k79me2	1	0.005099859685846161
emissionprobs	10	8	H3k9ac	0	0.9976088473331458
emissionprobs	10	8	H3k9ac	1	0.0023911526668543037
emissionprobs	10	9	H4k20me1	0	0.985575104283324
emissionprobs	10	9	H4k20me1	1	0.014424895716676014
emissionprobs	11	0	H3k09me3	0	0.9922362471851373
emissionprobs	11	0	H3k09me3	1	0.007763752814862761
emissionprobs	11	1	H3k27ac	0	0.9823233479607656
emissionprobs	11	1	H3k27ac	1	0.01767665203923438
emissionprobs	11	2	H3k27me3	0	0.9983729304482396
emissionprobs	11	2	H3k27me3	1	0.0016270695517603866
emissionprobs	11	3	H3k36me3	0	0.6235598207235907
emissionprobs	11	3	H3k36me3	1	0.37644017927640927
emissionprobs	11	4	H3k4me1	0	0.9933581398863006
emissionprobs	11	4	H3k4me1	1	0.006641860113699385
emissionprobs	11	5	H3k4me2	0	0.9990099490441743
emissionprobs	11	5	H3k4me2	1	9.90050955825733E-4
emissionprobs	11	6	H3k4me3	0	0.9995636481278081
emissionprobs	11	6	H3k4me3	1	4.363518721919686E-4
emissionprobs	11	7	H3k79me2	0	0.9784033498519774
emissionprobs	11	7	H3k79me2	1	0.021596650148022572
emissionprobs	11	8	H3k9ac	0	0.9952290377801648
emissionprobs	11	8	H3k9ac	1	0.004770962219835229
emissionprobs	11	9	H4k20me1	0	0.9471837979065302
emissionprobs	11	9	H4k20me1	1	0.05281620209346973
emissionprobs	12	0	H3k09me3	0	0.03241160936597636
emissionprobs	12	0	H3k09me3	1	0.9675883906340237
emissionprobs	12	1	H3k27ac	0	0.7204044407937737
emissionprobs	12	1	H3k27ac	1	0.2795955592062262
emissionprobs	12	2	H3k27me3	0	0.6457186078703466
emissionprobs	12	2	H3k27me3	1	0.3542813921296533
emissionprobs	12	3	H3k36me3	0	0.33385289655800304
emissionprobs	12	3	H3k36me3	1	0.666147103441997
emissionprobs	12	4	H3k4me1	0	0.8477749587335015
emissionprobs	12	4	H3k4me1	1	0.15222504126649847
emissionprobs	12	5	H3k4me2	0	0.8576985249232686
emissionprobs	12	5	H3k4me2	1	0.1423014750767315
emissionprobs	12	6	H3k4me3	0	0.8491238792478142
emissionprobs	12	6	H3k4me3	1	0.1508761207521859
emissionprobs	12	7	H3k79me2	0	0.7579340773924228
emissionprobs	12	7	H3k79me2	1	0.24206592260757714
emissionprobs	12	8	H3k9ac	0	0.7036605974951469
emissionprobs	12	8	H3k9ac	1	0.29633940250485313
emissionprobs	12	9	H4k20me1	0	0.6963289190503026
emissionprobs	12	9	H4k20me1	1	0.3036710809496973
emissionprobs	13	0	H3k09me3	0	0.7314084476394088
emissionprobs	13	0	H3k09me3	1	0.26859155236059107
emissionprobs	13	1	H3k27ac	0	0.9979361479846158
emissionprobs	13	1	H3k27ac	1	0.0020638520153840123
emissionprobs	13	2	H3k27me3	0	0.9917109275850294
emissionprobs	13	2	H3k27me3	1	0.008289072414970719
emissionprobs	13	3	H3k36me3	0	0.9940708824323685
emissionprobs	13	3	H3k36me3	1	0.005929117567631524
emissionprobs	13	4	H3k4me1	0	0.998477997153418
emissionprobs	13	4	H3k4me1	1	0.0015220028465819072
emissionprobs	13	5	H3k4me2	0	0.9996348470454776
emissionprobs	13	5	H3k4me2	1	3.651529545225466E-4
emissionprobs	13	6	H3k4me3	0	0.9993815888926572
emissionprobs	13	6	H3k4me3	1	6.184111073429081E-4
emissionprobs	13	7	H3k79me2	0	0.9984723948400989
emissionprobs	13	7	H3k79me2	1	0.0015276051599010369
emissionprobs	13	8	H3k9ac	0	0.9990874996233162
emissionprobs	13	8	H3k9ac	1	9.125003766838984E-4
emissionprobs	13	9	H4k20me1	0	0.9981640279645483
emissionprobs	13	9	H4k20me1	1	0.0018359720354517192
emissionprobs	14	0	H3k09me3	0	0.9923863458738372
emissionprobs	14	0	H3k09me3	1	0.007613654126162869
emissionprobs	14	1	H3k27ac	0	0.9973539769529908
emissionprobs	14	1	H3k27ac	1	0.0026460230470092823
emissionprobs	14	2	H3k27me3	0	0.9982460767420653
emissionprobs	14	2	H3k27me3	1	0.0017539232579346052
emissionprobs	14	3	H3k36me3	0	0.9995058790146875
emissionprobs	14	3	H3k36me3	1	4.941209853124626E-4
emissionprobs	14	4	H3k4me1	0	0.9973084098295887
emissionprobs	14	4	H3k4me1	1	0.002691590170411294
emissionprobs	14	5	H3k4me2	0	0.9994101514485895
emissionprobs	14	5	H3k4me2	1	5.898485514105076E-4
emissionprobs	14	6	H3k4me3	0	0.9998338937566341
emissionprobs	14	6	H3k4me3	1	1.661062433658826E-4
emissionprobs	14	7	H3k79me2	0	0.9995973111976297
emissionprobs	14	7	H3k79me2	1	4.026888023703598E-4
emissionprobs	14	8	H3k9ac	0	0.9991560599074368
emissionprobs	14	8	H3k9ac	1	8.439400925631661E-4
emissionprobs	14	9	H4k20me1	0	0.9975200721250098
emissionprobs	14	9	H4k20me1	1	0.0024799278749900724
emissionprobs	15	0	H3k09me3	0	0.9904709914834104
emissionprobs	15	0	H3k09me3	1	0.009529008516589476
emissionprobs	15	1	H3k27ac	0	0.9503994928421534
emissionprobs	15	1	H3k27ac	1	0.04960050715784671
emissionprobs	15	2	H3k27me3	0	0.9892823601079646
emissionprobs	15	2	H3k27me3	1	0.01071763989203537
emissionprobs	15	3	H3k36me3	0	0.9961397499917282
emissionprobs	15	3	H3k36me3	1	0.0038602500082718224
emissionprobs	15	4	H3k4me1	0	0.7502960576293931
emissionprobs	15	4	H3k4me1	1	0.2497039423706068
emissionprobs	15	5	H3k4me2	0	0.9438064676886432
emissionprobs	15	5	H3k4me2	1	0.05619353231135679
emissionprobs	15	6	H3k4me3	0	0.9957784656365053
emissionprobs	15	6	H3k4me3	1	0.004221534363494721
emissionprobs	15	7	H3k79me2	0	0.9941126862978568
emissionprobs	15	7	H3k79me2	1	0.005887313702143233
emissionprobs	15	8	H3k9ac	0	0.982692798747983
emissionprobs	15	8	H3k9ac	1	0.017307201252016964
emissionprobs	15	9	H4k20me1	0	0.9728787098391662
emissionprobs	15	9	H4k20me1	1	0.027121290160833735
